question_id,participant_id,time,correct,type,size,layout,domain_question
21,22,8.034,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
26,22,18.471,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
2,22,32.086,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
16,22,37.196,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
29,22,61.56,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
23,22,10.823,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
7,22,10.631,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
22,22,64.903,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
1,22,11.954,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
24,22,49.08,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
30,22,52.636,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
9,22,14.518,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
32,22,46.523,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
31,22,11.573,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
35,22,20.237,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
6,22,19.45,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
28,22,62.045,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
14,22,23.208,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
13,22,22.519,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
23,23,14.826,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
3,23,8.66,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
26,23,23.622,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
4,23,41.134,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
6,23,26.818,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
16,23,39.279,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
21,23,8.645,yes                           ,matrix                        ,medium                        ,outDD                         ,drinking                      
25,23,15.423,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
